"Delivery Date for specified order ID ""%1"" not found.",,module,Amasty_Deliverydate
"Delivery Time",,module,Amasty_Deliverydate
"Delivery Information",,module,Amasty_Deliverydate
Email,,module,Amasty_Deliverydate
"Current Delivery Date",,module,Amasty_Deliverydate
"New Delivery Date",,module,Amasty_Deliverydate
"New Time Interval",,module,Amasty_Deliverydate
"Delivery Date Info",,module,Amasty_Deliverydate
"GMP or BCMATH extension not installed!",,module,Amasty_Geoip
"All Except Specified URLs",,module,Amasty_GeoipRedirect
"Specified URLs",,module,Amasty_GeoipRedirect
"Redirect From Home Page Only",,module,Amasty_GeoipRedirect
"Notification Popup",,module,Amasty_GeoipRedirect
"Confirmation Popup",,module,Amasty_GeoipRedirect
"Redirect notification",,module,Amasty_GeoipRedirect
"Billing Address Country",,module,Amasty_Conditions
"Shipping Address Line",,module,Amasty_Conditions
"Storeview currency",,module,Amasty_Conditions
"If Product Custom Options IDs %1 %2",,module,Amasty_Conditions
"Membership Days",,module,Amasty_Conditions
"Average Order Value",,module,Amasty_Conditions
"Total Sales Amount",,module,Amasty_Conditions
"Number of Placed Orders",,module,Amasty_Conditions
"Number of Completed Orders",,module,Amasty_Conditions
"Quantity In Stock",,module,Amasty_Conditions
"Custom Options SKU",,module,Amasty_Conditions
"Row total in cart with tax",,module,Amasty_Conditions
"Product Custom Options IDs",,module,Amasty_Conditions
"Unable to save banner with ID %1. Error: %2",,module,Amasty_BannersLite
"Unable to save new banner. Error: %1",,module,Amasty_BannersLite
"Banner with specified ID ""%1"" not found.",,module,Amasty_BannersLite
"Banner with specified ID and Banner Type not found.",,module,Amasty_BannersLite
"Unable to remove banner with ID %1. Error: %2",,module,Amasty_BannersLite
"Unable to remove banner. Error: %1",,module,Amasty_BannersLite
"Unable to save bannerRule with ID %1. Error: %2",,module,Amasty_BannersLite
"Unable to save new bannerRule. Error: %1",,module,Amasty_BannersLite
"BannerRule with specified ID ""%1"" not found.",,module,Amasty_BannersLite
"Unable to remove bannerRule with ID %1. Error: %2",,module,Amasty_BannersLite
"Unable to remove bannerRule. Error: %1",,module,Amasty_BannersLite
"Elasticsearch package is not installed. Please, run the following command in the SSH: composer require elasticsearch/elasticsearch ~5.1",,module,Amasty_ElasticSearch
